"FILARE","PIANTA","X","Y","Area","Perimetro","Roughness","MISSING","LAT","LON","dist_bound","L_moran_30","L_moran_50","L_moran_30_p","L_moran_50_r","Underperc","L_moran_5","L_moran_100","Line_res","candidate","pred_mglm","pred_rdtree"
1,57,826,1906,366,80.083,0.71715,1,43.07671829,10.69511266,0,-0.187170772968061,-0.267113578165852,-0.176764197574326,0.0218375153940482,0,0.0357655511093186,-0.0866039025472518,99.2659873435383,0,0,0
1,58,816,1885,410,83.255,0.74332,0,43.07672525,10.69510934,2.21920795699382e-07,-0.12081007151607,-0.129810019190202,-0.111595285380436,0.0844397177044615,0,0.197494200305786,-0.0717328058318227,51.6651003554612,0,0,0
1,59,805,1864,388,82.426,0.71764,0,43.07673222,10.69510568,1.45870027972963e-07,-0.128972718685517,-0.146859066751256,-0.0888375553190815,0.0158553145016628,0,0.297744442311398,-0.0984892711963365,71.1260549515423,0,0,0
1,60,794,1842,428,87.497,0.70253,0,43.07673952,10.69510203,2.29307591377238e-07,-0.0249461934298746,-0.046002413037865,-0.010245424740325,-0.0146189569492184,0,0.0915748794897873,-0.0485501406772659,31.8304586987873,0,0,0
1,61,783,1821,477,89.154,0.75413,0,43.07674649,10.69509837,1.53256828473885e-07,0.00368019343921195,0.00857786389485667,-0.00467115944496915,0.10952440750243,0,-0.00552489737412316,0.0149968337101098,-14.1746180598538,0,0,0
1,62,773,1800,460,84.912,0.80174,0,43.07675345,10.69509505,3.75177624173267e-07,-0.00203326308450338,-0.00380260219446712,-0.0213948461915107,0.0860089479189167,0,-0.0248022928751659,-0.00821168110558646,5.83137381985028,0,0,0
1,63,762,1779,474,91.497,0.71149,0,43.07676042,10.69509139,2.99126859689297e-07,-0.00395891149546058,0.00860299252376034,-0.00508319143360394,0.00409135644603474,0,0.0287000120236515,0.0101992005778364,-7.43101651786924,0,0,0
1,64,751,1758,555,102.57,0.66294,0,43.07676739,10.69508773,2.23076095205326e-07,-0.0435527317988861,0.0876395781881653,-0.0269719449071114,-0.0729729653049139,0,0.140510716813084,0.0993790579815272,-89.4938629978546,0,0,0
1,65,740,1737,600,105.64,0.67563,0,43.07677436,10.69508408,1.55923418329855e-07,0.0881280045507602,0.0827987617798022,0.138266126967687,-0.0393628132227136,1,0.0571135589164959,0.165096248505089,-135.451542029338,0,0,0
1,66,730,1716,462,95.154,0.6412,0,43.07678132,10.69508075,3.68946128001351e-07,-0.0040275974632381,-0.0037311527067747,0.0674082091475564,-0.0785148159535961,0,-0.0132811066836846,-0.00648227086722479,1.57304180532469,0,0,0
